score_i-1,score_i,score_i+1,purity_i-1,purity_i,purity_i+1,review_score,review_purity,Sentiment
-0.17374005382,-0.00306409740278,0.000112477384392,-0.00496400153771,-6.96385773359e-05,1.18397246729e-06,-0.0358898826383,-0.00210143687894,0
-0.00306409740278,0.000112477384392,0.00307258626771,-6.96385773359e-05,1.18397246729e-06,1.22903450708e-05,-0.0358898826383,-0.00210143687894,0
0.000112477384392,0.00307258626771,-0.00107395705025,1.18397246729e-06,1.22903450708e-05,-1.85165008663e-05,-0.0358898826383,-0.00210143687894,0
0.00307258626771,-0.00107395705025,0.0,1.22903450708e-05,-1.85165008663e-05,0.0,-0.0358898826383,-0.00210143687894,-1
-0.00107395705025,0.0,0.033689174016,-1.85165008663e-05,0.0,0.0008422293504,-0.0358898826383,-0.00210143687894,-1
0.0,0.033689174016,0.0,0.0,0.0008422293504,0.0,-0.0358898826383,-0.00210143687894,-1
0.033689174016,0.0,-0.035384802939,0.0008422293504,0.0,-0.000536133377863,-0.0358898826383,-0.00210143687894,-1
0.0,-0.035384802939,0.033689174016,0.0,-0.000536133377863,0.000580847827862,-0.0358898826383,-0.00210143687894,-1
-0.035384802939,0.033689174016,0.0,-0.000536133377863,0.000580847827862,0.0,-0.0358898826383,-0.00210143687894,-1
0.033689174016,0.0,0.0,0.000580847827862,0.0,0.0,-0.0358898826383,-0.00210143687894,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0358898826383,-0.00210143687894,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.0358898826383,-0.00210143687894,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,-0.00440810097869,-0.000318720031158,0.0,-1.85214326836e-05,-3.74964742539e-06,-0.210447373845,-0.00226396162929,-1
